Trial,TargetImage,DistractorImage,AudioTarget,TrialType,Pair,TargetSide,block,TargetLoc,DistractorLoc,Carrier,practice,order
p1,cookie.jpg,apple.jpg,can_cookie_mono65db.wav,NA,NA,NA,0,"(640,512)","(0,0)",can,y,3
p2,stroller.jpg,apple.jpg,where_stroller_mono65db.wav,NA,NA,NA,0,"(640,512)","(0,0)",where,y,3
p3,diaper.jpg,apple.jpg,do_diaper_mono65db.wav,NA,NA,NA,0,"(640,512)","(0,0)",do,y,3
p4,spoon.jpg,apple.jpg,look_spoon_mono65db.wav,NA,NA,NA,0,"(640,512)","(0,0)",look,y,3
1,keys2.jpg,blocks.jpg,can_keys.wav,unique,block_keys,R,1,"(960,512)","(320,512)",can,n,3
2,cup.jpg,hair.jpg,where_cup.wav,generic,hair_cup,L,1,"(320,512)","(960,512)",where,n,3
3,kitty.jpg,banana.jpg,can_kitty.wav,generic,banana_kitty,R,1,"(960,512)","(320,512)",can,n,3
4,ball3.jpg,train2.jpg,do_ball.wav,unique,ball_train,L,1,"(320,512)","(960,512)",do,n,3
5,mitten.jpg,dog2.jpg,look_mitten.wav,unique,mitten_dog,R,1,"(960,512)","(320,512)",look,n,3
6,water.jpg,cheerios.jpg,look_water.wav,generic,cheerios_water,R,1,"(960,512)","(320,512)",look,n,3
7,blocks.jpg,keys2.jpg,can_blocks.wav,unique,block_keys,L,1,"(320,512)","(960,512)",can,n,3
8,hair.jpg,cup.jpg,where_hair.wav,generic,hair_cup,L,1,"(320,512)","(960,512)",where,n,3
9,cheerios.jpg,water.jpg,look_cheerios.wav,generic,cheerios_water,R,1,"(960,512)","(320,512)",look,n,3
10,train2.jpg,ball3.jpg,do_train.wav,unique,ball_train,R,1,"(960,512)","(320,512)",do,n,3
11,applesauce.jpg,book.jpg,where_applesauce.wav,unique,book_applesauce,L,1,"(320,512)","(960,512)",where,n,3
12,cracker.jpg,bear.jpg,do_cracker.wav,generic,bear_cracker,L,1,"(320,512)","(960,512)",do,n,3
13,dog2.jpg,mitten.jpg,look_dog.wav,unique,mitten_dog,R,1,"(960,512)","(320,512)",look,n,3
14,book.jpg,applesauce.jpg,where_book.wav,unique,book_applesauce,L,1,"(320,512)","(960,512)",where,n,3
15,bear.jpg,cracker.jpg,do_bear.wav,generic,bear_cracker,R,1,"(960,512)","(320,512)",do,n,3
16,banana.jpg,kitty.jpg,can_banana.wav,generic,banana_kitty,L,1,"(320,512)","(960,512)",can,n,3
17,hair.jpg,cup.jpg,where_hair.wav,generic,hair_cup,R,2,"(960,512)","(320,512)",where,n,3
18,blocks.jpg,keys2.jpg,can_blocks.wav,unique,block_keys,R,2,"(960,512)","(320,512)",can,n,3
19,bear.jpg,cracker.jpg,do_bear.wav,generic,bear_cracker,L,2,"(320,512)","(960,512)",do,n,3
20,banana.jpg,kitty.jpg,can_banana.wav,generic,banana_kitty,R,2,"(960,512)","(320,512)",can,n,3
21,mitten.jpg,dog2.jpg,look_mitten.wav,unique,mitten_dog,L,2,"(320,512)","(960,512)",look,n,3
22,book.jpg,applesauce.jpg,where_book.wav,unique,book_applesauce,R,2,"(960,512)","(320,512)",where,n,3
23,cup.jpg,hair.jpg,where_cup.wav,generic,hair_cup,R,2,"(960,512)","(320,512)",where,n,3
24,dog2.jpg,mitten.jpg,look_dog.wav,unique,mitten_dog,L,2,"(320,512)","(960,512)",look,n,3
25,train2.jpg,ball3.jpg,do_train.wav,unique,ball_train,L,2,"(320,512)","(960,512)",do,n,3
26,cracker.jpg,bear.jpg,do_cracker.wav,generic,bear_cracker,R,2,"(960,512)","(320,512)",do,n,3
27,cheerios.jpg,water.jpg,look_cheerios.wav,generic,cheerios_water,L,2,"(320,512)","(960,512)",look,n,3
28,keys2.jpg,blocks.jpg,can_keys.wav,unique,block_keys,L,2,"(320,512)","(960,512)",can,n,3
29,ball3.jpg,train2.jpg,do_ball.wav,unique,ball_train,R,2,"(960,512)","(320,512)",do,n,3
30,water.jpg,cheerios.jpg,look_water.wav,generic,cheerios_water,L,2,"(320,512)","(960,512)",look,n,3
31,applesauce.jpg,book.jpg,where_applesauce.wav,unique,book_applesauce,R,2,"(960,512)","(320,512)",where,n,3
32,kitty.jpg,banana.jpg,can_kitty.wav,generic,banana_kitty,L,2,"(320,512)","(960,512)",can,n,3
